Entity,Year,WorkingHours,GeneralHappiness
Netherlands,1975,1641.261219,86.175941
Netherlands,1976,1625.258672,90.539238
Netherlands,1977,1605.255489,91.697433
Netherlands,1978,1577.251032,93.160416
Netherlands,1979,1556.247689,94.721405
Netherlands,1980,1553.247211,94.291534
Netherlands,1981,1553.247211,92.307693
Netherlands,1982,1539.244983,93.158234
Netherlands,1983,1524.242595,92.357574
Netherlands,1985,1499.238615,89.819702
Netherlands,1986,1485.236387,92.082008
Netherlands,1987,1464.233044,91.263374
Netherlands,1988,1461.232566,90.861679
Netherlands,1989,1456.23177,93.958595
Netherlands,1990,1451.230974,93.099991
Netherlands,1991,1442.229542,94.300003
Netherlands,1992,1448.230497,93.200005
Netherlands,1994,1445.230019,92.54924
Netherlands,1996,1494.454827,91.542747
Netherlands,1997,1480.075366,92.549019
Netherlands,1998,1476.342434,94.638535
Netherlands,1999,1475.292819,94.787094
Netherlands,2000,1462.021194,92.638863
Netherlands,2001,1451.897742,94.062515
Netherlands,2002,1434.814309,92.770348
Netherlands,2003,1426.553991,90.091309
Netherlands,2005,1433.575609,95.211098
Netherlands,2006,1430.460148,95.02179
Netherlands,2007,1429.745867,95.880249
Netherlands,2008,1430.044312,96.926033
Netherlands,2009,1421.976692,95.996002
Netherlands,2011,1422.443528,96.341576
Netherlands,2012,1413.139543,94.230652
Netherlands,2013,1417.5694,94.699905
Netherlands,2015,1423.920168,95.722267
Netherlands,2016,1436.729019,96.504379
Norway,1990,1502.6712,90.300003
Norway,1991,1500.490677,92.80719
Norway,1992,1510.324484,92.044998
Norway,1994,1504.573905,94.0
Poland,2005,2079.048446,69.165787
Poland,2006,2080.579499,72.887039
Poland,2007,2077.61446,76.888039
Poland,2008,2069.599985,75.400002
Poland,2009,2054.000025,76.700005
Poland,2011,2043.599982,75.849998
Poland,2012,2038.39999,76.261238
Poland,2013,2034.754588,75.701378
Poland,2015,2049.009142,82.170174
Poland,2016,2050.359138,82.434341
Portugal,1985,1948.673235,54.745258
Portugal,1986,1936.410953,64.966431
Portugal,1987,1952.41435,69.949997
Portugal,1988,1951.414137,59.866379
Portugal,1989,1972.418595,70.485283
Portugal,1990,1959.415835,72.435783
Portugal,1991,1887.400552,72.523148
Portugal,1992,1825.387391,74.386887
Portugal,1994,1835.389514,70.0
Portugal,1996,1894.421992,81.612587
Portugal,1997,1889.628086,62.800003
Portugal,1998,1905.308215,59.41748
Portugal,1999,1907.087431,66.893562
Portugal,2000,1916.809669,65.516365
Portugal,2001,1900.453208,66.662422
Portugal,2002,1893.593117,62.142742
Portugal,2003,1886.637361,55.835182
Portugal,2005,1894.85356,58.215652
Portugal,2006,1882.983327,58.981537
Portugal,2007,1899.98459,58.67926
Portugal,2008,1886.891674,49.349998
Portugal,2009,1887.095913,51.236397
Portugal,2011,1866.581532,45.694946
Portugal,2012,1849.049318,32.82724
Portugal,2013,1859.13482,36.063812
Portugal,2014,1866.898221,51.514019
Portugal,2015,1874.919468,54.789066
Portugal,2016,1864.58539,64.595665
Slovakia,2005,1769.487915,63.369717
Slovakia,2006,1774.454016,68.898994
Slovakia,2007,1791.201073,70.104576
Slovakia,2008,1793.356889,70.067383
Slovakia,2009,1780.338241,68.450706
Slovakia,2011,1793.012756,71.186638
Slovakia,2012,1789.042423,67.799995
Slovakia,2013,1771.614095,66.082382
Slovakia,2014,1759.613162,70.03994
Slovakia,2015,1754.086278,71.500603
Slovakia,2016,1740.010771,75.375786
Slovenia,2005,1696.596213,88.295952
Slovenia,2006,1667.452568,88.324425
Slovenia,2007,1654.937841,88.677147
Slovenia,2008,1673.64661,86.763123
Slovenia,2009,1678.752344,86.251236
Slovenia,2011,1663.154779,82.702461
Slovenia,2012,1644.581726,85.412468
Slovenia,2013,1662.398134,81.797287
Slovenia,2015,1687.8538,83.706833
Slovenia,2016,1666.918471,88.493958
Spain,1985,1776.466316,69.990028
Spain,1986,1768.540086,72.710266
Spain,1987,1760.613856,72.775459
Spain,1988,1756.65074,67.5354
Spain,1989,1744.761395,78.009048
Spain,1990,1746.742953,76.600006
Spain,1991,1755.659962,79.140137
Spain,1992,1747.733732,75.653122
Spain,1994,1738.816723,71.050003
Spain,1996,1740.202565,80.24691
Spain,1997,1742.493874,77.422577
Spain,1999,1756.053431,83.469048
Spain,2000,1752.755138,81.940857
Spain,2001,1762.500029,84.595192
Spain,2002,1764.573982,82.366989
Spain,2003,1755.938857,83.174561
Spain,2005,1725.600586,84.638306
Spain,2006,1715.65563,88.989334
Spain,2007,1703.487825,87.099998
Spain,2008,1712.552323,83.95237
Spain,2009,1719.674035,75.249496
Spain,2011,1715.510844,74.559738
Spain,2012,1701.19645,71.769379
Spain,2013,1693.533779,69.528877
Spain,2015,1699.502843,77.145706
Spain,2016,1701.364221,78.128365
Sweden,1996,1653.040846,93.930641
Sweden,1997,1657.968936,96.0
Sweden,1999,1664.811683,94.504333
Sweden,2000,1642.0825,94.38855
Sweden,2001,1618.207283,95.337234
Sweden,2002,1594.873896,92.892464
Sweden,2003,1581.563223,93.150818
Sweden,2005,1605.063582,96.351517
Sweden,2006,1599.127171,95.960289
Sweden,2007,1611.495447,96.063248
Sweden,2008,1616.86454,95.922157
